id,year,region,wine,beer,vodka,champagne,brandy,total_consumption
1167,2012,"Krasnodar Krai",5.70,63.10,5.80,1.70,0.90,77.20
1168,2012,"Krasnoyarsk Krai",6.10,77.50,10.80,1.70,0.80,96.90
1169,2012,"Kurgan Oblast",5.80,82.50,7.50,1.10,0.40,97.30
1170,2012,"Kursk Oblast",5.60,60.70,7.70,1.50,0.60,76.10
1171,2012,"Leningrad Oblast",7.40,81.30,14.40,2.10,1.50,106.70
1172,2012,"Lipetsk Oblast",5.70,77.70,8.10,1.40,0.50,93.40
1173,2012,"Magadan Oblast",8.00,59.90,24.30,4.90,2.10,99.20
1174,2012,"Mari El Republic",8.80,31.20,12.40,1.20,0.60,54.20
1175,2012,"Republic of Mordovia",6.10,58.70,10.80,1.00,0.40,77.00
1176,2012,Moscow,9.70,89.90,16.50,5.00,1.70,122.80
1177,2012,"Moscow Oblast",7.40,101.00,11.30,2.60,1.50,123.80
1178,2012,"Murmansk Oblast",10.80,52.60,13.10,3.40,1.70,81.60
